age,gender,maritalstatus,education,occupation,annualincome,homeowner,state,monthlybilledamount,totalminsusedinlastmonth,unpaidbalance,numberofmonthunpaid,numberofcomplaints,numdayscontractequipmentplanexpiring,penaltytoswitch,calldroprate,callfailurerate,percentagecalloutsidenetwork,totalcallduration_mean,totalcallduration_std,totalcallduration_min,totalcallduration_max,avgcallduration_mean,avgcallduration_std,avgcallduration_min,avgcallduration_max,churn
12,Male,Single,Bachelor or equivalent,Technology Related Job,168147,Yes,WA,71,15,19,7,0,96,371,0.06,0.0,0.82,4976.0,1407.1424945612296,3981,5971,829.0,234.75945135393377,663,995,0
42,Female,Single,Bachelor or equivalent,Technology Related Job,29047,Yes,WI,8,212,34,4,1,14,43,0.05,0.01,0.27,4554.0,3995.1533137039937,1729,7379,584.5,215.667568261897,432,737,0
58,Female,Single,Master or equivalent,Technology Related Job,27076,Yes,KS,16,216,144,2,0,55,403,0.07,0.02,0.48,2945.5,249.60869375885127,2769,3122,588.5,50.204581464244875,553,624,0
20,Male,Single,PhD or equivalent,Technology Related Job,137977,No,KY,74,412,159,7,1,73,76,0.05,0.03,0.94,3351.0,3559.57553649308,834,5868,836.0,2.8284271247461903,834,838,0
36,Male,Married,High School or below,Technology Related Job,136006,Yes,ND,81,416,19,5,0,14,436,0.07,0.0,0.15,2244.0,506.288455329568,1886,2602,747.5,168.99852070358486,628,867,0
67,Female,Married,High School or below,Technology Related Job,246906,Yes,OK,19,113,34,2,1,32,108,0.05,0.01,0.61,4291.0,2197.6878759277897,2737,5845,613.0,313.9554108468271,391,835,0
14,Male,Single,High School or below,Technology Related Job,244935,Yes,AZ,27,116,144,0,3,73,468,0.07,0.02,0.82,2885.0,646.2955980045044,2428,3342,683.0,178.19090885900997,557,809,0
45,Female,Married,High School or below,Technology Related Job,105835,Yes,CA,85,313,159,5,1,91,141,0.05,0.03,0.27,3664.0,1722.5121189704298,2446,4882,814.0,1.4142135623730951,813,815,0
61,Female,Single,Bachelor or equivalent,Technology Related Job,103864,Yes,MI,92,316,19,3,3,32,1,0.07,0.0,0.48,1711.6666666666667,1303.4271492236662,268,2802,448.0,157.42934923323543,268,560,0
23,Male,Single,Bachelor or equivalent,Technology Related Job,214765,Yes,MN,30,13,34,0,0,50,173,0.06,0.01,0.94,2241.3333333333335,1399.1802361859366,626,3076,665.3333333333334,77.84814277382175,615,755,1
39,Female,Married,Master or equivalent,Technology Related Job,212794,Yes,SC,37,17,144,6,3,91,34,0.0,0.02,0.15,3826.5,200.11121907579295,3685,3968,699.0,53.74011537017761,661,737,0
69,Male,Married,Master or equivalent,Technology Related Job,73694,No,TN,95,214,159,4,0,9,206,0.06,0.03,0.61,1075.3333333333333,604.7555980173588,378,1456,519.6666666666666,161.8095588441342,378,696,0
17,Male,Married,High School or below,Technology Related Job,71723,No,FL,103,217,19,1,3,50,66,0.0,0.0,0.82,4528.5,3184.1018356830236,2277,6780,1053.0,120.20815280171308,968,1138,0
48,Female,Married,High School or below,Technology Related Job,182623,Yes,HI,41,414,34,7,0,68,239,0.06,0.01,0.27,3276.0,849.9423509862302,2675,3877,1056.0,397.39401102683973,775,1337,0
64,Female,Single,High School or below,Technology Related Job,180652,Yes,NV,48,417,144,4,2,8,99,0.0,0.02,0.48,2224.5,1979.1918805411465,825,3624,508.0,135.7645019878171,412,604,0
26,Male,Single,High School or below,Technology Related Job,41553,Yes,NH,106,114,159,2,0,27,271,0.06,0.03,0.94,2244.3333333333335,1212.9576799432589,1248,3595,773.0,416.2343090135651,472,1248,0
42,Female,Married,Bachelor or equivalent,Technology Related Job,39582,Yes,VA,114,118,19,7,2,67,131,0.0,0.0,0.15,3841.0,176.7766952966369,3716,3966,795.0,189.50461735799473,661,929,0
72,Male,Single,Bachelor or equivalent,Non-technology Related Job,150482,No,WV,52,315,34,5,3,86,304,0.07,0.01,0.61,4125.5,678.1154031578991,3646,4605,687.0,113.13708498984761,607,767,0
20,Male,Married,Master or equivalent,Technology Related Job,148511,Yes,IA,59,318,144,2,2,26,164,0.01,0.02,0.82,4929.5,1557.7562389539642,3828,6031,813.0,67.88225099390856,765,861,0
50,Female,Married,Master or equivalent,Non-technology Related Job,9412,Yes,KY,117,15,159,0,3,45,336,0.07,0.03,0.28,2290.5,521.1376977344855,1922,2659,923.5,53.033008588991066,886,961,0
66,Female,Single,High School or below,Technology Related Job,7441,Yes,ND,4,18,19,5,1,85,196,0.01,0.0,0.49,3799.0,1245.9221484506968,2918,4680,832.5,146.37110370561533,729,936,0
29,Male,Single,High School or below,Non-technology Related Job,118341,Yes,OH,62,215,34,3,3,4,369,0.07,0.01,0.94,3676.0,2337.51812827195,995,5287,635.0,213.56966076669224,497,881,0
